Date_Event,Date_Event_Adj,Type_Event
2014-02-27,2014-02-27,RUSSIA
2014-11-27,2014-11-28,OPEC
2015-12-18,2015-12-18,DOE
2016-09-28,2016-09-28,OPEC
2016-11-30,2016-11-30,OPEC
2017-08-31,2017-08-31,DOE
2019-01-01,2019-01-02,OPEC
2020-03-08,2020-03-09,OPEC
2020-04-13,2020-04-13,OPEC
2021-02-21,2021-02-22,RUSSIA
2021-11-13,2021-11-15,RUSSIA
2021-11-23,2021-11-23,DOE
2022-02-24,2022-02-24,RUSSIA
2022-03-31,2022-03-31,DOE
2022-10-05,2022-10-05,DOE
2022-10-05,2022-10-05,OPEC
2023-04-03,2023-04-03,OPEC
2024-03-05,2024-03-05,DOE
2024-06-03,2024-06-03,OPEC
2020-04-20,2020-04-20,OIL_CRASH
